#qqN	bbN	ttN	x	y	mg
1	0	0	0	0	 600
0.95	0	0.05	0.025	0.0433013	 650
0.9	0	0.1	0.05	0.0866025	 700
0.85	0	0.15	0.075	0.129904	 750
0.95	0.05	0	0.05	0	 800
0.15	0	0.85	0.425	0.736122	 1000
0.2	0	0.8	0.4	0.69282	 1000
0.1	0	0.9	0.45	0.779423	 1000
0.25	0.15	0.6	0.45	0.519615	 1050
0.2	0.25	0.55	0.525	0.476314	 1050
0.2	0.2	0.6	0.5	0.519615	 1050
0.2	0.15	0.65	0.475	0.562917	 1050
0.05	0.1	0.85	0.525	0.736122	 1050
0.2	0.1	0.7	0.45	0.606218	 1050
0.05	0.05	0.9	0.5	0.779423	 1050
0.15	0.05	0.8	0.45	0.69282	 1050
0.15	0.1	0.75	0.475	0.649519	 1050
0.2	0.05	0.75	0.425	0.649519	 1050
0.1	0.15	0.75	0.525	0.649519	 1050
0	0.05	0.95	0.525	0.822724	 1050
0	0	1	0.5	0.866025	 1050
0.1	0.05	0.85	0.475	0.736122	 1050
0.05	0	0.95	0.475	0.822724	 1050
0.1	0.1	0.8	0.5	0.69282	 1050
0.9	0.05	0.05	0.075	0.0433013	 850
0.15	0.15	0.7	0.5	0.606218	 1050
0.25	0	0.75	0.375	0.649519	 1000
0.25	0.2	0.55	0.475	0.476314	 1050
0.25	0.1	0.65	0.425	0.562917	 1000
0.25	0.05	0.7	0.4	0.606218	 1000
0.3	0	0.7	0.35	0.606218	 950
0.15	0.45	0.4	0.65	0.34641	 1100
0.2	0.35	0.45	0.575	0.389711	 1100
0.2	0.3	0.5	0.55	0.433013	 1100
0.8	0	0.2	0.1	0.173205	 850
0.2	0.55	0.25	0.675	0.216506	 1100
0	0.3	0.7	0.65	0.606218	 1100
0.05	0.35	0.6	0.65	0.519615	 1100
0.05	0.3	0.65	0.625	0.562917	 1100
0.1	0.45	0.45	0.675	0.389711	 1100
0.05	0.25	0.7	0.6	0.606218	 1100
0.2	0.5	0.3	0.65	0.259808	 1100
0.2	0.45	0.35	0.625	0.303109	 1100
0.1	0.4	0.5	0.65	0.433013	 1100
0.15	0.4	0.45	0.625	0.389711	 1100
0.05	0.2	0.75	0.575	0.649519	 1100
0.15	0.3	0.55	0.575	0.476314	 1100
0.1	0.25	0.65	0.575	0.562917	 1100
0.05	0.15	0.8	0.55	0.69282	 1100
0.15	0.35	0.5	0.6	0.433013	 1100
0.1	0.3	0.6	0.6	0.519615	 1100
0.15	0.75	0.1	0.8	0.0866025	 1150
0.15	0.8	0.05	0.825	0.0433013	 1150
0.2	0.4	0.4	0.6	0.34641	 1100
0.1	0.2	0.7	0.55	0.606218	 1100
0.15	0.25	0.6	0.55	0.519615	 1100
0.1	0.35	0.55	0.625	0.476314	 1100
0.15	0.2	0.65	0.525	0.562917	 1100
0.9	0.1	0	0.1	0	 900
0.15	0.7	0.15	0.775	0.129904	 1150
0.15	0.6	0.25	0.725	0.216506	 1150
0.15	0.65	0.2	0.75	0.173205	 1150
0.15	0.85	0	0.85	0	 1150
0.15	0.55	0.3	0.7	0.259808	 1150
0.05	0.7	0.25	0.825	0.216506	 1150
0.05	0.75	0.2	0.85	0.173205	 1150
0	0.1	0.9	0.55	0.779423	 1100
0.15	0.5	0.35	0.675	0.303109	 1150
0.1	0.8	0.1	0.85	0.0866025	 1150
0	0.85	0.15	0.925	0.129904	 1200
0.05	0.65	0.3	0.8	0.259808	 1150
0.85	0.05	0.1	0.1	0.0866025	 900
0.4	0.05	0.55	0.325	0.476314	 950
0.3	0.05	0.65	0.375	0.562917	 1000
0.05	0.6	0.35	0.775	0.303109	 1150
0.2	0.65	0.15	0.725	0.129904	 1150
0.05	0.55	0.4	0.75	0.34641	 1150
0.2	0.6	0.2	0.7	0.173205	 1150
0	0.35	0.65	0.675	0.562917	 1150
0.05	0.5	0.45	0.725	0.389711	 1150
0.1	0.5	0.4	0.7	0.34641	 1150
0.1	0.55	0.35	0.725	0.303109	 1150
0	0.65	0.35	0.825	0.303109	 1150
0.8	0.05	0.15	0.125	0.129904	 900
0.05	0.45	0.5	0.7	0.433013	 1150
0.1	0.75	0.15	0.825	0.129904	 1150
0.75	0	0.25	0.125	0.216506	 900
0	0.6	0.4	0.8	0.34641	 1150
0	0.5	0.5	0.75	0.433013	 1150
0.1	0.7	0.2	0.8	0.173205	 1150
0.1	0.6	0.3	0.75	0.259808	 1150
0.05	0.4	0.55	0.675	0.476314	 1150
0.7	0	0.3	0.15	0.259808	 900
0	0.55	0.45	0.775	0.389711	 1150
0	0.25	0.75	0.625	0.649519	 1100
0	0.45	0.55	0.725	0.476314	 1150
0.1	0.9	0	0.9	0	 1200
0.1	0.65	0.25	0.775	0.216506	 1150
0	0.2	0.8	0.6	0.69282	 1100
0	0.4	0.6	0.7	0.519615	 1150
0	1	0	1	0	 1200
0	0.95	0.05	0.975	0.0433013	 1200
0	0.9	0.1	0.95	0.0866025	 1200
0	0.15	0.85	0.575	0.736122	 1100
0.85	0.15	0	0.15	0	 950
0.1	0.85	0.05	0.875	0.0433013	 1200
0.25	0.3	0.45	0.525	0.389711	 1050
0	0.8	0.2	0.9	0.173205	 1200
0.85	0.1	0.05	0.125	0.0433013	 950
0.05	0.95	0	0.95	0	 1200
0	0.75	0.25	0.875	0.216506	 1200
0.05	0.9	0.05	0.925	0.0433013	 1200
0.8	0.15	0.05	0.175	0.0433013	 950
0.25	0.4	0.35	0.575	0.303109	 1100
0.8	0.1	0.1	0.15	0.0866025	 950
